tipo,cidade,bairro,area_m2,quartos,banheiros,suites,andar,vagas,preco,preco_m2,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,estado,tipo_imovel_padronizado,tem_geolocalizacao,tem_endereco_estruturado,andar_informado
apartamento,Fortaleza,Dionísio Torres,95.0,3.0,2.0,1.0,0.0,2.0,900000.0,9473.684210526315,True,False,False,True,True,False,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Parque Iracema,86.0,2.0,3.0,2.0,0.0,2.0,750000.0,8720.93023255814,False,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,73.0,2.0,2.0,1.0,0.0,2.0,650000.0,8904.109589041096,False,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,104.0,3.0,4.0,3.0,0.0,2.0,920000.0,8846.153846153846,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Serrinha,54.0,2.0,1.0,1.0,5.0,1.0,365000.0,6759.259259259259,True,False,False,True,True,False,False,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Guararapes,235.0,4.0,4.0,4.0,0.0,4.0,2881221.0,12260.51489361702,False,False,False,True,False,False,False,True,True,True,True,CE,apartamento_padrao,True,True,True
casa,Fortaleza,Sabiaguaba,186.0,3.0,4.0,3.0,0.0,3.0,1150000.0,6182.795698924731,False,False,False,True,False,True,True,True,False,True,False,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Fátima,95.0,3.0,3.0,1.0,0.0,2.0,450000.0,4736.8421052631575,False,False,False,False,False,False,False,False,False,False,False,CE,apartamento_padrao,True,True,True
casa,Fortaleza,Cambeba,173.0,4.0,3.0,2.0,0.0,4.0,690000.0,3988.4393063583816,False,False,False,False,False,True,True,False,False,False,False,CE,casa_padrao,True,True,True
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,75.0,2.0,7.0,2.0,0.0,2.0,840000.0,11200.0,True,False,True,True,True,True,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Fátima,66.0,3.0,2.0,2.0,3.0,2.0,650000.0,9848.484848484848,False,False,True,True,False,False,False,False,False,False,False,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Manuel Dias Branco,115.0,3.0,4.0,3.0,0.0,2.0,1650000.0,14347.826086956522,True,False,True,True,False,False,False,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Cocó,77.0,3.0,2.0,1.0,1.0,2.0,772000.0,10025.974025974027,True,False,False,True,True,False,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,57.0,2.0,2.0,1.0,0.0,1.0,532097.0,9335.035087719298,True,False,False,True,True,False,False,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Papicu,78.0,3.0,3.0,3.0,2.0,2.0,970000.0,12435.897435897436,True,True,False,True,True,True,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Parque Iracema,116.0,3.0,4.0,3.0,0.0,2.0,1030000.0,8879.310344827587,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,José Bonifácio,90.0,3.0,3.0,1.0,0.0,2.0,890000.0,9888.888888888889,True,False,True,True,True,True,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Meireles,73.0,2.0,3.0,2.0,0.0,0.0,996000.0,13643.835616438357,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao,True,True,True
apartamento,Fortaleza,Cocó,138.0,3.0,5.0,3.0,0.0,3.0,1199000.0,8688.40579710145,True,False,True,True,True,False,False,True,True,True,True,CE,apartamento_padrao,True,True,True
