tipo_imovel,metragem,quartos,banheiros,suites,preco_anuncio,latitude,longitude,portaria_24h_normalizado,vista_mar_normalizado,condominio_fechado_normalizado,piscina_normalizado,deck_normalizado,varanda_normalizado,varanda_gourmet_normalizado,academia_normalizado,salao_festas_normalizado,salao_jogos_normalizado,quadra_normalizado,playground_normalizado,brinquedoteca_normalizado,coworking_normalizado,pet_place_normalizado,elevador_normalizado,nascente_normalizado,andar_alto_normalizado,mobiliado_normalizado,reformado_normalizado,frente_mar_normalizado,vista_livre_normalizado,tipo_anuncio_normalizado,anuncio_criado,nota_media
Apartamento,44.0,2.0,1.0,,75.000,-3.851425,-38.489793,True,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,repasse,2026-06-09,0.0
Lote/Terreno,520.47,,,,1.475.000,-3.808,-38.467,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,normal,2024-05-11,0.0
Casa,123.0,3.0,4.0,3.0,619.900,-3.77,-38.474,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-03-03,0.0
Imóvel comercial,94.0,3.0,3.0,2.0,280.000,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,normal,2026-01-30,0.0
Apartamento,49.0,2.0,2.0,2.0,700.000,-3.732045,-38.504817,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,normal,2025-09-17,0.0
Apartamento,73.0,3.0,2.0,1.0,190.000,-3.797632,-38.509135,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,normal,2026-06-09,0.0
Apartamento,800.0,3.0,2.0,1.0,486.900,-3.752,-38.447,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,normal,2026-06-09,0.0
Apartamento,74.0,3.0,2.0,1.0,320.000,-3.812996,-38.497082,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,normal,2026-04-02,0.0
Apartamento,63.0,3.0,2.0,1.0,455.255,-3.807906,-38.487189,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,lançamento,,0.0
Apartamento,92.0,3.0,3.0,1.0,870.000,-3.736549,-38.550523,True,False,False,True,True,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,normal,2026-06-11,0.0
